iter	Passed	Remaining
403	8993	13267
404	9011	13239
405	9031	13213
406	9052	13189
407	9071	13162
408	9091	13137
409	9112	13113
410	9133	13089
411	9158	13071
412	9180	13048
413	9200	13022
414	9221	12998
415	9242	12974
416	9267	12956
417	9288	12933
418	9312	12913
419	9333	12888
420	9353	12863
421	9374	12840
422	9396	12816
423	9418	12795
424	9437	12768
425	9457	12743
426	9482	12724
427	9506	12705
428	9530	12685
429	9552	12663
430	9580	12648
431	9604	12628
432	9646	12631
433	9670	12611
434	9690	12586
435	9709	12559
436	9732	12538
437	9750	12510
438	9769	12484
439	9789	12459
440	9809	12434
441	9828	12408
442	9852	12388
443	9874	12365
444	9895	12341
445	9913	12314
446	9934	12290
447	9955	12266
448	9973	12239
449	9994	12215
450	10016	12192
451	10037	12169
452	10059	12147
453	10080	12123
454	10100	12098
455	10121	12074
456	10144	12053
457	10163	12027
458	10183	12003
459	10203	11978
460	10223	11953
461	10245	11930
462	10265	11906
463	10285	11881
464	10306	11858
465	10328	11835
466	10347	11810
467	10366	11784
468	10385	11758
469	10404	11732
470	10425	11709
471	10444	11684
472	10463	11657
473	10481	11631
474	10499	11605
475	10521	11582
476	10545	11562
477	10569	11542
478	10590	11519
479	10610	11494
480	10628	11468
481	10648	11444
482	10685	11437
483	10707	11415
484	10728	11391
485	10747	11366
486	10765	11340
487	10784	11314
488	10805	11292
489	10826	11268
490	10849	11247
491	10870	11223
492	10889	11198
493	10908	11173
494	10928	11149
495	10952	11129
496	10976	11108
497	10997	11085
498	11016	11060
499	11040	11040
500	11062	11018
501	11083	10994
502	11103	10971
503	11125	10949
504	11147	10926
505	11168	10904
506	11192	10883
507	11217	10864
508	11239	10841
509	11260	10818
510	11284	10798
511	11307	10777
512	11330	10756
513	11351	10733
514	11375	10712
515	11397	10690
516	11421	10669
517	11442	10647
518	11464	10625
519	11488	10605
520	11510	10582
521	11537	10565
522	11564	10546
523	11594	10532
524	11621	10514
525	11648	10496
526	11677	10480
527	11721	10477
528	11749	10461
529	11774	10441
530	11797	10420
531	11824	10401
532	11850	10383
533	11873	10361
534	11899	10342
535	11923	10321
536	11945	10299
537	11969	10278
538	11993	10258
539	12015	10235
540	12040	10215
541	12065	10195
542	12089	10175
543	12110	10151
544	12135	10131
545	12159	10110
546	12182	10088
547	12203	10065
548	12226	10043
549	12247	10020
550	12268	9997
551	12291	9975
552	12315	9954
553	12338	9933
554	12361	9911
555	12381	9887
556	12404	9865
557	12425	9842
558	12446	9819
559	12466	9795
560	12486	9771
561	12509	9749
562	12533	9728
563	12557	9707
564	12581	9686
565	12602	9663
566	12625	9641
567	12645	9617
568	12669	9596
569	12688	9572
570	12710	9549
571	12735	9529
572	12774	9519
573	12795	9496
574	12821	9476
575	12845	9455
576	12867	9433
577	12888	9410
578	12910	9387
579	12930	9363
580	12951	9340
581	12973	9317
582	12995	9295
583	13017	9272
584	13040	9251
585	13060	9227
586	13082	9204
587	13104	9181
588	13126	9159
589	13149	9137
590	13172	9116
591	13195	9094
592	13218	9072
593	13239	9049
594	13261	9026
595	13283	9004
596	13308	8983
597	13330	8960
598	13350	8937
599	13376	8917
600	13399	8896
601	13421	8873
602	13441	8849
603	13461	8825
604	13483	8803
605	13505	8780
606	13526	8757
607	13551	8737
608	13571	8713
609	13590	8689
610	13613	8667
611	13634	8643
612	13654	8620
613	13675	8597
614	13694	8573
615	13717	8551
616	13739	8528
617	13761	8506
618	13780	8482
619	13820	8470
620	13844	8449
621	13865	8426
622	13887	8404
623	13906	8379
624	13928	8356
625	13949	8334
626	13972	8312
627	13991	8288
628	14010	8263
629	14031	8240
630	14052	8217
631	14074	8195
632	14096	8172
633	14116	8149
634	14137	8126
635	14158	8103
636	14177	8079
637	14197	8055
638	14215	8030
639	14234	8006
640	14251	7981
641	14271	7958
642	14293	7935
643	14312	7911
644	14329	7886
645	14346	7861
646	14365	7837
647	14383	7813
648	14403	7789
649	14424	7767
650	14443	7742
651	14459	7717
652	14479	7694
653	14500	7671
654	14521	7648
655	14542	7626
656	14563	7603
657	14584	7580
658	14605	7557
659	14628	7535
660	14646	7511
661	14665	7488
662	14684	7464
663	14703	7440
664	14724	7417
665	14744	7394
666	14762	7370
667	14782	7347
668	14802	7323
669	14823	7301
670	14872	7292
671	14892	7269
672	14911	7245
673	14930	7221
674	14952	7199
675	14970	7175
676	14987	7150
677	15006	7126
678	15027	7104
679	15045	7080
680	15066	7057
681	15085	7034
682	15102	7009
683	15120	6985
684	15141	6962
685	15160	6939
686	15181	6916
687	15200	6893
688	15218	6869
689	15237	6845
690	15257	6822
691	15277	6799
692	15298	6777
693	15318	6754
694	15337	6731
695	15360	6709
696	15379	6685
697	15404	6664
698	15424	6642
699	15444	6619
700	15465	6596
